Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,103.0,218.0,2245,1257,Online
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,103.0,163.0,1679,806,Online
Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,10.0,700.0,7000,3150,Outlet
Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,15.0,575.0,8625,3881,Outlet
Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,15.0,475.0,7125,3206,Outlet
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,475.0,7125,2494,In-store
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,20.0,450.0,9000,3150,Online
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,15.0,450.0,6750,2700,Online
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.0,450.0,9000,2700,In-store
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,44.0,434.0,1910,993,Outlet
Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,425.0,8500,2975,In-store
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,425.0,6375,2231,In-store
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,425.0,8500,2975,In-store
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20.0,425.0,8500,3400,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.0,425.0,6375,2550,Online
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20.0,425.0,8500,3400,Online
Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20.0,425.0,8500,3400,Online
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425.0,8500,2975,Online
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48.0,420.0,2016,1129,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408.0,1591,875,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403.0,1854,1038,Outlet
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400.0,8000,2800,In-store
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400.0,8000,3200,In-store
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400.0,8000,2800,In-store
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400.0,8000,2800,In-store
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400.0,8000,3200,Online
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15.0,400.0,6000,2400,Online
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47.0,400.0,1880,978,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40.0,390.0,1560,811,Outlet
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388.0,1280,666,Outlet
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384.0,1306,679,Outlet
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376.0,1166,559,Outlet
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375.0,7500,4125,Outlet
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375.0,7500,2625,In-store
West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375.0,7500,3000,In-store
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375.0,7500,3000,In-store
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.0,375.0,5625,2250,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15.0,375.0,5625,1969,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15.0,375.0,5625,2250,Online
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,41.0,375.0,1538,800,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,29.0,374.0,1085,445,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,29.0,374.0,1085,445,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,33.0,372.0,1228,663,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,44.0,366.0,1610,837,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56.0,360.0,2016,1250,Online
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,37.0,359.0,1328,452,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,48.0,355.0,1704,511,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,46.0,354.0,1628,1026,Online
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,47.0,352.0,1654,447,Outlet
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,350.0,8750,3063,In-store
Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,350.0,8750,3500,In-store
Foot Locker,1185732,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350.0,8750,3063,In-store
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350.0,8750,3063,In-store
West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,25.0,350.0,8750,3063,In-store
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,10.0,350.0,3500,1225,In-store
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,350.0,8750,3500,Online
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,350.0,8750,3500,Online
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,350.0,8750,3063,Online
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,10.0,350.0,3500,1400,Online
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,25.0,350.0,8750,3500,Online
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,15.0,350.0,5250,2100,Online
West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20.0,350.0,7000,2800,Online
West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.0,350.0,7000,2450,Online
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,350.0,8750,3063,Online
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,350.0,5250,1838,Online
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,25.0,350.0,8750,3063,Online
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,25.0,350.0,8750,3500,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32.0,350.0,1120,414,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,36.0,350.0,1260,365,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43.0,350.0,1505,497,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,45.0,350.0,1575,473,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,38.0,350.0,1330,758,Outlet
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,26.0,349.0,907,426,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,46.0,347.0,1596,511,Outlet
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,345.0,6900,2415,In-store
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,41.0,341.0,1398,601,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,41.0,340.0,1394,474,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,48.0,340.0,1632,490,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,41.0,338.0,1386,527,Outlet
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47.0,336.0,1579,963,Online
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,39.0,333.0,1299,351,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,42.0,333.0,1399,559,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,32.0,333.0,1066,426,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,34.0,333.0,1132,476,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,46.0,332.0,1527,321,Outlet
Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,35.0,332.0,1162,546,Outlet
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,38.0,330.0,1254,401,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,50.0,330.0,1650,462,Outlet
Foot Locker,1185732,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,62.0,326.0,2021,1152,Online
Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325.0,8125,3250,In-store
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325.0,8125,3250,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.0,325.0,6500,2600,In-store
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,25.0,325.0,8125,2844,In-store
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325.0,4875,1706,In-store
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Athletic Footwear,10.0,325.0,3250,1300,In-store
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,20.0,325.0,6500,2275,In-store
Amazon,1185732,2021-03-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,325.0,8125,3250,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325.0,8125,3250,Online
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,325.0,6500,2275,Online
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,15.0,325.0,4875,1950,Online
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,25.0,325.0,8125,2844,Online
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15.0,325.0,4875,1950,Online
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,20.0,325.0,6500,2275,Online
Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,325.0,6500,2275,Online
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325.0,6500,2600,In-store
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,58.0,325.0,1885,1150,Online
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,40.0,324.0,1296,518,Outlet
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,63.0,323.0,2035,1140,Online
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,32.0,323.0,1034,393,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,36.0,323.0,1163,314,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,33.0,323.0,1066,448,Outlet
